index,sentence,context,regex_matches,fuzzy_matches,semantic_score,semantic_best_seed,cluster_label,zero_shot_raw
9506,I,I I II,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9520,"Bozun  braceth  brythe  hwen  gooses 
gandered  gamen.","Ah,  dearo  dearo  dear! Bozun  braceth  brythe  hwen  gooses 
gandered  gamen. Mahazar  ag  Dod!",,gendered(88),,,5,
9535,Woman.,For  his  humple  pesition  in  odvices. Woman. Squash.,,become a woman(91); born a woman(91); man-woman(91); dressed as a woman(91),,,1,
9569,I,"392 I smell  of  Shakeletin  and  scratchman  and  his  mouth  watering,  acid 
and  alkolic;  signs  on  the  salt,  and  so  now  pass  the  loaf  for  Christ 
sake.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9612,"And 
pulHt  into  yourself,  as  on  manowoman  do  another !","And  plays  be  honest! And 
pulHt  into  yourself,  as  on  manowoman  do  another ! Candidately, 
everybody!",,man-woman(89),,,2,
9634,i,396 i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9635,I,"i I maiden  name,  for  overflauwing,  by  the  dream  of  woman  the 
owneirist,  in  forty  lands.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9656,p,"398 p And  no  damn  loutll  come  courting  thee  or  by  the  mother  of  the  Holy 
Ghost  there'' II  be  murder/",,hermaphrodite(100); two-spirit(100),,,8,
9689,I,II I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9690,I,I I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9691,I,I I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9692,I,I I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9693,I,I I III,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9695,I,III I Hark!,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9745,r,"404 r letters,  relayed  wand  postchased,  multiply,  ay  faith,  and  plultiply !)",,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
9843,i,408 i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9844,I,i I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9845,I,I I Wouldndom !,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
9975,u,"412 u thanks  to  force  of  destiny,  my  selary  as  a  paykelt  is  propaired, 
and  there  is  a  peg  under  me  and  there  is  a  turn  till  me.",,transsexual(100); disguise(100),,,0,
10044,"Nefersenless,  when  he  had  safely  looked  up  his  ovipository,  he 
loftet  hails  and  prayed:","Nor  to  Ba's  berial  nether,  thon 
sloghard,  this  oldeborre's  yaar  ablong  as  there's  a  khul  on  a  khat. Nefersenless,  when  he  had  safely  looked  up  his  ovipository,  he 
loftet  hails  and  prayed: May  he  me  no  voida  water!",,sexless(86),,,4,
10157,"I  am,  thing  Sing  Larynx,  letter  potent  to 
play  the  sem  backwards  like  Oscan  wild  or  in  shunt  Persse  trans- 
luding  from  the  Otherman  or  oiff  the  Toptic  or  anything  off  the 
types  of  my  finklers  in  the  draught  or  with  buttles,  with  my  oyes 
thickshut  and  all.","Look 
at  that  for  a  ridingpin! I  am,  thing  Sing  Larynx,  letter  potent  to 
play  the  sem  backwards  like  Oscan  wild  or  in  shunt  Persse  trans- 
luding  from  the  Otherman  or  oiff  the  Toptic  or  anything  off  the 
types  of  my  finklers  in  the  draught  or  with  buttles,  with  my  oyes 
thickshut  and  all. But,  hellas,  it  is  harrobrew  bad  on  the  corns  and 
callouses.",trans,,,,2,
10287,Sender.,"A.B,  ab. Sender. Boston 
(Mass).",,transgender(86),,,0,
10361,I,422 I t,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10362,t,I t I,,transgender(100); transsexual(100); transvestite(100); gender identity(100); hermaphrodite(100); two-spirit(100); become other(100); switching roles(100); wearing the other's clothes(100),,,11,
10363,I,"t I jameymock  farceson  in  Shemish  like  a  mouther  of  the  incas  with 
a  garcielasso  huw  Ananymus  pinched  her  tights  and  about  the 
Bait  with  the  markshaire  parawag  and  his  loyal  divorces,  when  he  ""z.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10454,a,424 a 5^,,transgender(100); transsexual(100); transvestite(100); sex change(100); become a woman(100); become a man(100); born a woman(100); born a man(100); manhood(100); womanhood(100); androgyne(100); androgyny(100); hermaphrodite(100); changing sex(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); dressed as a man(100); dressed as a woman(100); changed sex(100); wearing the other's clothes(100),,,10,
10456,n,5^ n 94,,transgender(100); transsexual(100); transvestite(100); sex change(100); gender identity(100); cross dressing(100); become a woman(100); become a man(100); born a woman(100); born a man(100); manhood(100); womanhood(100); androgyne(100); androgyny(100); changing sex(100); gendered(100); genderless(100); ladyman(100); mannish(100); woman-man(100); women men(100); man-woman(100); dressed as a man(100); dressed as a woman(100); changed sex(100); switching roles(100); wearing the other's clothes(100),,,0,
10472,"with  the 
allergrossest  transfusiasm  as,  you  see,  while  I  can  soroquise  the 
Siamanish  better  than  most,  it  is  an  openear  secret,  be  it  said, 
how  I  am  extremely  ingenuous  at  the  clerking  even  with  my 
badily  left  and,  arrah  go  braz,  I'd  pinsel  it  with  immenuensoes 
as  easy  as  I'd  perorate  a  chickerow  of  beans  for  the  price  of  two 
maricles  and  my  trifolium  librotto,  the  authordux  Book  of  Lief, 
would,  if  given  to  daylight,  (I  hold  a  most  incredible  faith  about 
it)  far  exceed  what  that  bogus  bolshy  of  a  shame,  my  soamheis 
brother,  Gaoy  Fecks,  is  conversant  with  in  audible  black  and 
prink.","any  time 
ever  I  liked  (bet  ye  fippence  off  me  boot  allowance!) with  the 
allergrossest  transfusiasm  as,  you  see,  while  I  can  soroquise  the 
Siamanish  better  than  most,  it  is  an  openear  secret,  be  it  said, 
how  I  am  extremely  ingenuous  at  the  clerking  even  with  my 
badily  left  and,  arrah  go  braz,  I'd  pinsel  it  with  immenuensoes 
as  easy  as  I'd  perorate  a  chickerow  of  beans  for  the  price  of  two 
maricles  and  my  trifolium  librotto,  the  authordux  Book  of  Lief, 
would,  if  given  to  daylight,  (I  hold  a  most  incredible  faith  about 
it)  far  exceed  what  that  bogus  bolshy  of  a  shame,  my  soamheis 
brother,  Gaoy  Fecks,  is  conversant  with  in  audible  black  and 
prink. Outragedy  of  poetscalds!",,mannish(86),,,4,
10525,"And  Slyly  mamoumeen's  ladymaid  at  Glads- 
house  Lodge.","Mery  Loye 
is  saling  moonlike. And  Slyly  mamoumeen's  ladymaid  at  Glads- 
house  Lodge. Turn  your  coat,  strong  character,  and  tarry  among 
us  down  the  vale,  yougander,  only  once  more!",,ladyman(86),,,1,
10535,i,428 i I.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10551,"and  feeling  his  full  fat  pouch  for  him  so  tactily  and  jingaling 
his  jellybags  for,  though  he  looked  a  young  chapplie  of  sixtine, 
they  could  frole  by  his  manhood  that  he  was  just  the  killingest 
ladykiller  all  by  kindness,  now  you,  Jaun,  asking  kindlily  (hillo, 
missies!)","which  was  angelic  simply,  savouring 
of  wild  thyme  and  parsley  jumbled  with  breadcrumbs  (O  nice!) and  feeling  his  full  fat  pouch  for  him  so  tactily  and  jingaling 
his  jellybags  for,  though  he  looked  a  young  chapplie  of  sixtine, 
they  could  frole  by  his  manhood  that  he  was  just  the  killingest 
ladykiller  all  by  kindness,  now  you,  Jaun,  asking  kindlily  (hillo, 
missies!) after  their  howareyous  at  all  with  those  of  their  dolly- 
begs  (and  where's  Agatha's  lamb?",manhood,,,,4,
10590,I,432 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10591,I,I I _,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10593,I,_ I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10594,I,"I I mon  for  ignitiousPurpalume  to  the  proper  of  Francisco  Ultramare, 
last  of  scorchers,  third  of  snows,  in  terrorgammons  howdydos.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10655,i,"434 i known  to  all  the  dallytaunties  in  and  near  the  ciudad  of  Buellas 
Arias,  taking  you  to  the  playguehouse  to  see  the  Smirching  of 
Venus  and  asking  with  whispered  offers  in  a  very  low  bearded 
voice,  with  a  nice  little  tiny  manner  and  in  a  very  nice  little  tony 
way,  won't  you  be  an  artist's  moral  and  pose  in  your  nudies  as  a 
local  esthetic  before  voluble  old  masters,  introducing  you,  left 
to  right  the  party  comprises,  to  hogarths  like  Bottisilly  and 
Titteretto  and  Vergognese  and  Coraggio  with  their  extrahand 
Mazzaccio,  plus  the  usual  bilker's  dozen  of  dowdycameramen.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10712,I,436 I 1,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10748,I,438 I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10749,i,"I i and  otherwise,  messing  around  skirts  and  what  their  fickling  in- 
tentions look  like,  you  make  up  your  mind  to  that)  trespassing 
on  your  danger  zone  in  the  dancer  years.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10796,i,440 i t,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10797,t,i t I,,transgender(100); transsexual(100); transvestite(100); gender identity(100); hermaphrodite(100); two-spirit(100); become other(100); switching roles(100); wearing the other's clothes(100),,,11,
10798,I,t I likes.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10804,What's  overdressed  if  underclothed.,"Haul  Seton's  down,  black,  green  and  grey,  and  hoist 
Mikealy's  whey  and  sawdust. What's  overdressed  if  underclothed. '^ 
Poposht  forstake  me  knot  where  there's  white  lets  ope.",,,0.6013,dressing as the opposite sex,1,
10851,i,442 i behaitch  like  solitar.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10896,I,"1 
I  i I striped  conference  here's  how.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
10948,t,"446 t cals  and  be  instrumental  to  utensilise,  help  our  Jakeline  sisters 
clean  out  the  hogshole  and  generally  ginger  things  up.",,transgender(100); transsexual(100); transvestite(100); gender identity(100); hermaphrodite(100); two-spirit(100); become other(100); switching roles(100); wearing the other's clothes(100),,,11,
11030,I,450 I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11031,i,I i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11032,I,i I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11033,I,"I I dolly  farting,  in  vestments  of  subdominal  poteen  at  prime  cost 
and  I  bait  you  my  chancey  oldcoat  against  the  whole  ounce  you 
half  on  your  backboard  (if  madamaud  strips  mesdamines  may 
cold  strafe  illglandsl)  that  I'm  the  gogetter  that'd  make  it  pay  like 
cash  registers  as  sure  as  there's  a  pot  on  a  pole.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11074,I,452 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11075,I,"I I of  our,  alas,  those  times  are  not  so  far  off  as  you  might  wish  to 
be  congealed.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11206,I,456 I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11207,i,I i II,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11219,"Ye  can  stop  as  ye  are,  little  lay  mothers,  and  wait  in 
wish  and  wish  in  vain  till  the  grame  reaper  draws  nigh,  with 
the  sickle  of  the  sickles,  as  a  blessing  in  disguise.","Hangkang! Ye  can  stop  as  ye  are,  little  lay  mothers,  and  wait  in 
wish  and  wish  in  vain  till  the  grame  reaper  draws  nigh,  with 
the  sickle  of  the  sickles,  as  a  blessing  in  disguise. Devil  a  curly 
hair  I  care!",,disguise(100),,,2,
11266,I,"458 I as  far  as  come  back  under  all  my  eyes  like  my  sapphire  chap- 
lets  of  ringarosary  I  will  say  for  you  to  the  Allmichael  and 
solve  qui  pu  while  the  dovedoves  pick  my  mouthbuds  (msch!",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11287,"I  felt  for 
his  strength,  his  manhood,  his  do  you  mind.","He  fell  for  my  lips,  for  my  lisp,  for  my  lewd  speaker. I  felt  for 
his  strength,  his  manhood,  his  do  you  mind. '^  There  can  be  no 
candle  to  hold  to  it,  can  there .",manhood,manhood(100),,,4,
11370,I,"462 I blushing  like  Pat's  pig,  begob!",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11436,I,464 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11437,I,I I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11438,I,I I L,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11439,L,I L You've  surpassed  yourself!,,transsexual(100); genderless(100); sexless(100); ladyman(100); boy-girl(100); switching roles(100); wearing the other's clothes(100),,,9,
11541,The,But  he  could  be  near  a  colonel  with  a  voice  like  that. The 466,,become other(100); wearing the other's clothes(100),,,10,
11543,I,466 I bark  is  still  there  but  the  molars  are  gone.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11751,I,"Numerous  are  those  who,  nay,  there  are  a  dozen  of  folks  still 
unclaimed  by  the  death  angel  in  this  country  of  ours  today, 
humble  indivisibles  in  this  grand  continuum,  overlorded  by  fate 
and  interlarded  with  accidence,  who,  while  there  are  hours  and 
days,  will  fervently  pray  to  the  spirit  above  that  they  may  never 
depart  this  earth  of  theirs  till  in  his  long  run  from  that  place 
where  the  day  begins,  ere  he  retourneys  postexilic,  on  that  day 
that  belongs  to  joyful  Ireland,  the  people  that  is  of  all  time,  the 
old  old  oldest,  the  young  young  youngest,  after  decades  of I longsuffering  and  decennia  of  brief  glory,  to  mind  us  of  what 
was  when  and  to  matter  us  of  the  withering  of  our  ways,  their 
Janyouare  Fibyouare  wins  true  from  Sylvester  (only  Walker 
himself  is  like  Waltzer,  whimsicalissimo  they  go  murmurand) 
comes  marching  ahome  on  the  summer  crust  of  the  flagway.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
11784,i,474 i sweat  of  night  blues  moist  upon  them.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12131,I,il I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12132,I,I I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12133,I,I I ing  effects  and  affects  occasionally  recausing  altereffects.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12184,p,"484 p Sagart  can  self  laud  nilobstant  to  Lowman  Catlick's  patrician 
morning  coat  of  arms  with  my  High  tripenniferry  cresta  and 
caudal  mottams:",,hermaphrodite(100); two-spirit(100),,,8,
12290,I,486 I 1,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12353,p,"488 p Yet  be  there  some  who  mourn  him,  concluding  him  dead, 
and  more  there  be  that  wait  astand.",,hermaphrodite(100); two-spirit(100),,,8,
12519,i,"492 i took  a  brief  one  in  his  shirtsails  out  of  the  alleged  given  mineral, 
telling  me  see  his  in  Foraignghistan  sambat  papers  Sunday  feac- 
tures  of  a  welcomed  aperrytiff  with  vallad  of  Erill  Pearcey  O 
he  never  battered  one  eagle's  before  paying  me  his  duty  on  my 
annaversary  to  the  parroteyes  list  in  my  nil  ensemble,  in  his  lazy- 
chair  but  he  hidded  up  my  hemifaces  in  all  my  mayarannies  and 
he  locked  plum  into  my  mirrymouth  like  Ysamasy  morning  in 
the  end  of  time,  with  the  so  light's  hope  on  his  ruddycheeks  and 
rawjaws  and,  my  charmer,  whom  I  dipped  my  hand  in,  he  simply 
showed  me  his  propendiculous  loadpoker,  Seaserpents  hisses 
sissastones,  which  was  as  then  is  produced  in  his  mansway  by 
this  wisest  of  the  Vikramadityationists,  with  the  remere  remind 
remure  remark,  in  his  gulughurutty:",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12591,I,494 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12592,I,I I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12593,i,I i plais.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12657,I,■ I Quinnigans  Quake!,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
12675,V,498 V I,,transvestite(100),,,0,
12676,I,"V I embalsemate,  pending  a  rouseruction  of  his  bogey,  most  highly 
astounded,  as  it  turned  up,  after  his  life  overlasting,  at  thus  being 
reduced  to  nothing.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13016,I,502 I zon  cloth!,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13134,The  gender  feminine.,The  form  masculine. The  gender  feminine. I  see.,,,0.6064,a person living as a gender different from their assigned sex,1,
13232,I,"507 I and  the  Arch  after  his  teeth  were  shaken  out  of  their  suckets  by  the 
wrang  dog,  for  having  5  pints  73  of  none  Eryen  blood  in  him  abaft 
the  seam  level,  the  scatterling,  wearing  his  cowbeamer  and  false 
clothes  of  a  brewer's  grains  pattern  with  back  buckons  with  his 
motto  on,  Yule  Remember^  ostensibly  for  that  occasion  only  of  the 
twelfth  day  Pax  and  Quantum  wedding,  Tm  wondering.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13279,i,! i i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13280,i,i i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13281,I,i I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13282,i,I i —,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13369,i,510 i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13370,I,i I ►,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13451,"So  lent  she 
him  ear  to  burrow  his  manhood  (or  so  it  appierce)  and  borrow 
his  namas?","And  Malkos 
crackles  logs  of  fun  while  Anglys  cheers  our  ingles. So  lent  she 
him  ear  to  burrow  his  manhood  (or  so  it  appierce)  and  borrow 
his  namas? Suilful  eyes  and  sallowfoul  hairweed  and  the  sickly 
sigh  from  her  gingering  mouth  like  a  Dublin  bar  in  the  moarning.",manhood,manhood(100),,,4,
13467,I,Nascitur  ordo  seculi  numfit. I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13468,i,I i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13469,I,i I —,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13575,r,5M r that  erestationed.,,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
13646,I,1' I —,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
13793,He,"It  was  told  me  as  an  inspired  statement  by  a 
friend  of  myself,  in  reply  to  salute,  Tarpey,  after  three  o'clock 
mass,  with  forty  ducks  indulgent,  that  some  rain  was  promised 
to  Mrs  Lyons,  the  invalid  of  Aunt  Tarty  Villa,  with  lots  gulp 
and  sousers  and  likewise  he  told  me,  the  recusant,  after  telling 
mass,  with  two  hundred  genuflexions,  at  the  split  hour  of 
blight  when  bars  are  keeping  so  sly,  as  was  what's  follows. He 519",,hermaphrodite(100); she-he(100); become other(100); wearing the other's clothes(100),,,0,
